"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint"
2,10,10,5,38,9,0.598824952886684,-4.88277339929092,6.08042711663528
2,10,10,5,38,10,-4.37098460419217,-8.46363992901066,-0.278326433614813
3,10,10,5,38,1,3.30783051450924,-5.07511279292529,11.690779650941
3,10,10,5,38,2,0.924485982853363,-5.65593786397722,7.50491440528965
3,10,10,5,38,3,3.65564266006967,-6.70853101204247,14.0198235387942
3,10,10,5,38,4,5.27191873991965,4.34586218679539,6.19797621836132
3,10,10,5,38,5,5.68646390275984,-1.11349319490688,12.48642572869
3,10,10,5,38,6,1.07792679692447,-5.95642273885744,8.11228122396507
3,10,10,5,38,7,2.64025228530974,-1.27916407760667,6.55967137353166
3,10,10,5,38,8,4.47455998675114,-0.308920251048031,9.25804355102689
3,10,10,5,38,9,3.35274110662063,-4.45936818084776,11.1648558261599
3,10,10,5,38,10,3.12183420351373,-0.51727956319402,6.76095050066068
